OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,NEIGHBOURHOOD_158
615,GO-20134920035,2013.02.17,2013,February,17,Sunday,48,D23,Shooting,Mount Olive-Silverstone-Jamestown
616,GO-20134913786,2013.02.24,2013,February,24,Sunday,55,D31,Shooting,Humber Summit
617,GO-20134896103,2013.03.04,2013,March,4,Monday,63,D13,Stabbing,Caledonia-Fairbank
618,GO-20134847120,2013.03.06,2013,March,6,Wednesday,65,D23,Other,Rexdale-Kipling
619,GO-20134968037,2013.03.13,2013,March,13,Wednesday,72,D41,Other,Wexford/Maryvale
620,GO-20134779022,2013.03.21,2013,March,21,Thursday,80,D51,Shooting,Cabbagetown-South St.James Town
621,GO-20134907315,2013.03.28,2013,March,28,Thursday,87,D14,Shooting,Wellington Place
622,GO-20134902638,2013.03.30,2013,March,30,Saturday,89,D32,Shooting,Yorkdale-Glen Park
623,GO-20134837042,2013.04.06,2013,April,6,Saturday,96,D51,Other,Regent Park
624,GO-20134948721,2013.04.25,2013,April,25,Thursday,115,D42,Shooting,Morningside Heights
625,GO-20134924967,2013.04.25,2013,April,25,Thursday,115,D32,Stabbing,Lansing-Westgate
626,GO-20134913839,2013.04.29,2013,April,29,Monday,119,D31,Other,Glenfield-Jane Heights
627,GO-20134929615,2013.04.30,2013,April,30,Tuesday,120,D41,Stabbing,Birchcliffe-Cliffside
628,GO-20134823588,2013.05.16,2013,May,16,Thursday,136,D54,Other,O'Connor-Parkview
629,GO-20134832188,2013.05.19,2013,May,19,Sunday,139,D14,Shooting,Trinity-Bellwoods
630,GO-20134934653,2013.05.24,2013,May,24,Friday,144,D12,Other,Rockcliffe-Smythe
631,GO-20135001151,2013.05.29,2013,May,29,Wednesday,149,D42,Shooting,Morningside Heights
632,GO-20135067942,2013.06.03,2013,June,3,Monday,154,D42,Other,Agincourt North
633,GO-20135000885,2013.06.16,2013,June,16,Sunday,167,D32,Shooting,Yonge-Doris
634,GO-20135096311,2013.06.27,2013,June,27,Thursday,178,D54,Stabbing,Broadview North
635,GO-20134832295,2013.07.04,2013,July,4,Thursday,185,D32,Other,Clanton Park
636,GO-20135147700,2013.07.09,2013,July,9,Tuesday,190,D51,Other,Moss Park
637,GO-20135020177,2013.07.13,2013,July,13,Saturday,194,D32,Other,Newtonbrook East
638,GO-20134799559,2013.07.14,2013,July,14,Sunday,195,D14,Other,West Queen West
639,GO-20135172838,2013.07.15,2013,July,15,Monday,196,D22,Stabbing,Markland Wood
640,GO-20135172838,2013.07.15,2013,July,15,Monday,196,D22,Stabbing,Markland Wood
641,GO-20135172838,2013.07.15,2013,July,15,Monday,196,D22,Stabbing,Markland Wood
642,GO-20135159817,2013.07.28,2013,July,28,Sunday,209,D31,Shooting,Glenfield-Jane Heights
643,GO-20135162653,2013.08.05,2013,August,5,Monday,217,D11,Shooting,High Park-Swansea
644,GO-20135143553,2013.08.12,2013,August,12,Monday,224,D23,Shooting,Elms-Old Rexdale
645,GO-20135192957,2013.08.23,2013,August,23,Friday,235,D31,Shooting,Glenfield-Jane Heights
646,GO-20135192957,2013.08.23,2013,August,23,Friday,235,D31,Shooting,Glenfield-Jane Heights
647,GO-20135143282,2013.09.03,2013,September,3,Tuesday,246,D12,Shooting,Weston
648,GO-20135114771,2013.09.12,2013,September,12,Thursday,255,D33,Stabbing,Hillcrest Village
649,GO-20135245469,2013.09.14,2013,September,14,Saturday,257,D54,Stabbing,Danforth
650,GO-20135269597,2013.09.17,2013,September,17,Tuesday,260,D23,Shooting,Willowridge-Martingrove-Richview
651,GO-20135126688,2013.09.20,2013,September,20,Friday,263,D12,Stabbing,Beechborough-Greenbrook
652,GO-20135260102,2013.09.23,2013,September,23,Monday,266,D51,Shooting,Moss Park
653,GO-20135237175,2013.10.06,2013,October,6,Sunday,279,D52,Stabbing,Yonge-Bay Corridor
654,GO-20135128923,2013.10.13,2013,October,13,Sunday,286,D12,Stabbing,Weston
655,GO-20135229819,2013.10.20,2013,October,20,Sunday,293,D52,Other,Kensington-Chinatown
